reference,frame_narrator,embed_type,speaker,confidence,needs_review,open_pattern,close_pattern,first_50_chars
"Alma 20:2",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Ammon,"HIGH",False,"\bsaying\s*[:;,]","","And the voice of the Lord came to Ammon, saying: T"
"Alma 20:5",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Ammon,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","And Ammon said unto him: No one hath told me, save"
"Alma 20:7",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Ammon,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","And he said unto Ammon: Come, I will go with thee "
"Alma 20:19",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Ammon,"HIGH",False,"\bsaying\s*[:;,]","\bwhen\s+\w+\s+had\s+(spoken|said|finish","Now when Ammon had said these words unto him, he a"
"Alma 20:25",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","Now when Ammon had said these words, the king bega"
"Alma 21:4",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Aaron,"HIGH",False,"\b(began|did)\s+to\s+(say|teach|preach|s","","And it came to pass that Aaron came to the city of"
"Alma 21:5",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Aaron,"HIGH",False,"\bsaying\s*[:;,]","","Therefore, as Aaron entered into one of their syna"
"Alma 22:4",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Aaron,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","And Aaron said unto the king: Behold, the Spirit o"
"Alma 22:8",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Aaron,"HIGH",False,"\band\s+he\s+said\b","","And now when Aaron heard this, his heart began to "
"Alma 22:10",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Aaron,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","And Aaron said unto him: Yea, he is that Great Spi"
"Alma 22:11",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+he\s+said\b","","And he said: Yea, I believe that the Great Spirit "
"Alma 22:17",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Aaron,"HIGH",False,"\bsaying\s*[:;,]","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And it came to pass that when Aaron had said these"
"Alma 22:20",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","Now the servants had seen the cause of the king's "
"Alma 24:7",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bthese are the words (of|which)\b","","Now, these are the words which he said unto the pe"
"Alma 25:12",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Noah,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","And he said unto the priests of Noah that their se"
"Alma 26:1",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Ammon,"HIGH",False,"\bthese are the words (of|which)\b","","And now, these are the words of Ammon to his breth"
"Alma 26:10",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Ammon,"HIGH",False,"\bsaying\s*[:;,]","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And it came to pass that when Ammon had said these"
"Alma 26:37",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bamen\b","Now my brethren, we see that God is mindful of eve"
"Alma 27:4",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Ammon,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","Now when Ammon and his brethren saw this work of d"
"Alma 27:22",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it came to pass that the voice of the people c"
"Alma 29:17",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bamen\b","And now may God grant unto these, my brethren, tha"
"Alma 30:6",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\b(began|did)\s+to\s+(say|teach|preach|s","","But it came to pass in the latter end of the seven"
"Alma 30:12",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Christ,"HIGH",False,"\b(began|did)\s+to\s+(say|teach|preach|s","","And this Anti-Christ, whose name was Korihor, (and"
"Alma 30:21",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\b(began|did)\s+to\s+(say|teach|preach|s","","And it came to pass that he caused that he should "
"Alma 30:23",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Korihor,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","Now the high priest's name was Giddonah. And Korih"
"Alma 30:45",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+he\s+said\b","","And yet do ye go about, leading away the hearts of"
"Alma 30:50",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","Now when Alma had said these words, Korihor was st"
"Alma 30:51",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And now when the chief judge saw this, he put fort"
"Alma 30:52",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Korihor,"HIGH",False,"\bsaying\s*[:;,]","","And Korihor put forth his hand and wrote, saying: "
"Alma 30:53",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","But behold, the devil hath deceived me; for he app"
"Alma 30:54",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+(he|she|they)\s+had\s+(spoken|s","Now when he had said this, he besought that Alma s"
"Alma 31:14",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","Therefore, whosoever desired to worship must go fo"
"Alma 31:18",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bamen\b","And again we thank thee, O God, that we are a chos"
"Alma 31:26",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Lord,"HIGH",False,"\bsaying\s*[:;,]","","And he lifted up his voice to heaven, and cried, s"
"Alma 31:36",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","Now it came to pass that when Alma had said these "
"Alma 32:1",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,God,"HIGH",False,"\b(began|did)\s+to\s+(say|teach|preach|s","","And it came to pass that they did go forth, and be"
"Alma 33:1",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bafter\s+\w+\s+had\s+(spoken|said)\b","Now after Alma had spoken these words, they sent f"
"Alma 33:2",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Alma,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","And Alma said unto them: Behold, ye have said that"
"Alma 33:23",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bamen\b","And now, my brethren, I desire that ye shall plant"
"Alma 34:1",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Alma,"HIGH",False,"\b(began|did)\s+to\s+(say|teach|preach|s","\bafter\s+\w+\s+had\s+(spoken|said)\b","And now it came to pass that after Alma had spoken"
"Alma 36:9",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And he said unto me: If thou wilt of thyself be de"
"Alma 37:13",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Helaman,"HIGH",False,"\band\s+he\s+said\b","","O remember, remember, my son Helaman, how strict a"
"Alma 37:24",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,God,"HIGH",False,"\bsaying\s*[:;,]","","And now, my son, these interpreters were prepared "
"Alma 42:31",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bamen\b","And now, O my son, ye are called of God to preach "
"Alma 44:1",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Moroni,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","And it came to pass that they did stop and withdre"
"Alma 44:10",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Moroni,"HIGH",False,"\bsaying\s*[:;,]","\bhad\s+(made\s+an\s+end|finished)\s+(of","And now when Zerahemnah had made an end of speakin"
"Alma 44:12",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And now when Moroni had said these words, Zerahemn"
"Alma 45:3",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Helaman,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","And Helaman said unto him: Yea, I believe."
"Alma 45:5",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+he\s+said\b","","And he said: Yea, I believe all the words which th"
"Alma 45:6",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Alma,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","And Alma said unto him again: Will ye keep my comm"
"Alma 45:7",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+he\s+said\b","","And he said: Yea, I will keep thy commandments wit"
"Alma 45:15",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bafter\s+\w+\s+had\s+(spoken|said)\b","And now it came to pass that after Alma had said t"
"Alma 45:16",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,God,"HIGH",False,"\band\s+he\s+said\b","","And he said: Thus saith the Lord God--Cursed shall"
"Alma 45:17",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And now, when Alma had said these words he blessed"
"Alma 46:18",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,God,"HIGH",False,"\band\s+he\s+said\b","","And he said: Surely God shall not suffer that we, "
"Alma 46:19",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Moroni,"HIGH",False,"\bsaying\s*[:;,]","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And when Moroni had said these words, he went fort"
"Alma 46:22",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","Now this was the covenant which they made, and the"
"Alma 46:24",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+he\s+said\b","","Yea, let us preserve our liberty as a remnant of J"
"Alma 46:28",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And now it came to pass that when Moroni had said "
"Alma 47:25",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Amalickiah,"HIGH",False,"\bsaying\s*[:;,]","","Now the servants of the king fled; and the servant"
"Alma 47:34",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Amalickiah,"HIGH",False,"\band\s+they\s+said\b","","And it came to pass that Amalickiah took the same "
"Alma 50:19",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Lord,"HIGH",False,"\bsaying\s*[:;,]","","And thus we see how merciful and just are all the "
"Alma 54:4",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bthese are the words (of|which)\b","","Therefore he wrote an epistle, and sent it by the "
"Alma 54:15",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bthese are the words (of|which)\b","","Now it came to pass that Ammoron, when he had rece"
"Alma 55:2",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+he\s+said\b","","And he said: Behold, I will not exchange prisoners"
"Alma 55:4",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And now it came to pass that when Moroni had said "
"Alma 55:9",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","Now when the Lamanites heard these words they rece"
"Alma 55:12",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And Laman said unto them: You may do according to "
"Alma 56:1",FRAME_MORMON_ABRIDGER,EMBED_DOCUMENT,,"MEDIUM",False,"","","And now it came to pass in the commencement of the"
"Alma 56:2",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bthese are the words (of|which)\b","","And these are the words which he wrote, saying: My"
"Alma 56:48",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And they rehearsed unto me the words of their moth"
"Alma 57:1",FRAME_MORMON_ABRIDGER,EMBED_DOCUMENT,,"MEDIUM",False,"","","And now it came to pass that I received an epistle"
"Alma 57:2",FRAME_MORMON_ABRIDGER,EMBED_DOCUMENT,,"MEDIUM",False,"","","But I sent an epistle unto the king, that we were "
"Alma 57:30",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bthese are the words (of|which)\b","","And now, these are the words which Gid said unto m"
"Alma 57:31",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\b(and|now)\s+\w+\s+(said|saith|spake|cr","","And they cried unto us, saying--Behold, the armies"
"Alma 59:3",FRAME_MORMON_ABRIDGER,EMBED_DOCUMENT,,"MEDIUM",False,"","","And it came to pass that he immediately sent an ep"
"Alma 60:1",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bthese are the words (of|which)\b","","And it came to pass that he wrote again to the gov"
"Alma 61:1",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Moroni,"HIGH",False,"\bthese are the words (of|which)\b","","Behold, now it came to pass that soon after Moroni"
"Helaman 5:5",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Helaman,"HIGH",False,"\bthese are the words (of|which)\b","","For they remembered the words which their father H"
"Helaman 5:26",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Lehi,"HIGH",False,"\b(began|did)\s+to\s+(say|teach|preach|s","","And it came to pass that Nephi and Lehi did stand "
"Helaman 5:27",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And behold, when they had said these words, the ea"
"Helaman 5:29",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it came to pass that there came a voice as if "
"Helaman 5:32",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And behold the voice came again, saying: Repent ye"
"Helaman 5:38",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And they said unto the man: Behold, what do all th"
"Helaman 5:39",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","Now the man's name was Aminadab. And Aminadab said"
"Helaman 5:41",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And Aminadab said unto them: You must repent, and "
"Helaman 5:46",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it came to pass that there came a voice unto t"
"Helaman 7:13",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bopened his mouth and (taught|said|spak","","And it came to pass that he opened his mouth and s"
"Helaman 8:1",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Nephi,"HIGH",False,"\b(and|now)\s+\w+\s+(said|saith|spake|cr","\bwhen\s+\w+\s+had\s+(spoken|said|finish","And now it came to pass that when Nephi had said t"
"Helaman 8:5",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","Therefore they did cry unto the people, saying: Wh"
"Helaman 8:11",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","Therefore he was constrained to speak more unto th"
"Helaman 9:1",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Nephi,"HIGH",False,"\band\s+they\s+said\b","\bwhen\s+\w+\s+had\s+(spoken|said|finish","Behold, now it came to pass that when Nephi had sp"
"Helaman 9:12",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it came to pass that they inquired among the p"
"Helaman 9:13",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it came to pass that the judges desired that t"
"Helaman 9:16",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And now it came to pass that the judges did expoun"
"Helaman 9:20",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","Saying unto him: Thou art confederate; who is this"
"Helaman 10:3",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it came to pass as he was thus pondering--bein"
"Helaman 10:14",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Nephi,"HIGH",False,"\bsaying\s*[:;,]","","Therefore Nephi did declare unto them the word of "
"Helaman 11:3",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Nephi,"HIGH",False,"\bsaying\s*[:;,]","","And it came to pass that in this year Nephi did cr"
"Helaman 11:9",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Nephi,"HIGH",False,"\bsaying\s*[:;,]","","And it came to pass that the judges did say unto N"
"Helaman 12:26",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bamen\b","Yea, who shall be consigned to a state of endless "
"Helaman 13:2",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Samuel,"HIGH",False,"\b(began|did)\s+to\s+(say|teach|preach|s","","And it came to pass that in this year there was on"
"Helaman 13:5",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Samuel,"HIGH",False,"\band\s+(\w+)\s+said\s+unto\b","","And he said unto them: Behold, I, Samuel, a Lamani"
"Helaman 14:27",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And he said unto me that while the thunder and the"
"Helaman 16:6",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Samuel,"HIGH",False,"\bsaying\s*[:;,]","","But the more part of them did not believe in the w"
"Helaman 16:7",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\b(began|did)\s+to\s+(say|teach|preach|s","","And as they went forth to lay their hands on him, "
"Helaman 16:15",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","Nevertheless, the people began to harden their hea"
"Helaman 16:17",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And they began to reason and to contend among them"
"3 Nephi 1:5",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\b(began|did)\s+to\s+(say|teach|preach|s","","But there were some who began to say that the time"
"3 Nephi 1:6",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And they began to rejoice over their brethren, say"
"3 Nephi 1:12",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Lord,"HIGH",False,"\bsaying\s*[:;,]","","And it came to pass that he cried mightily unto th"
"3 Nephi 1:24",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\b(began|did)\s+to\s+(say|teach|preach|s","","And there were no contentions, save it were a few "
"3 Nephi 3:1",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,Christ,"HIGH",False,"\bsaying\s*[:;,]","","And now it came to pass that in the sixteenth year"
"3 Nephi 4:28",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And their leader, Zemnarihah, was taken and hanged"
"3 Nephi 4:30",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,God,"HIGH",False,"\bsaying\s*[:;,]","","And they did rejoice and cry again with one voice,"
"3 Nephi 5:19",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And now I make an end of my saying, which is of my"
"3 Nephi 5:26",FRAME_MORMON_ABRIDGER,NONE,,"LOW",True,"","\bamen\b","And then shall they know their Redeemer, who is Je"
"3 Nephi 8:24",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And in one place they were heard to cry, saying: O"
"3 Nephi 8:25",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And in another place they were heard to cry and mo"
"3 Nephi 10:3",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it came to pass that there came a voice again "
"3 Nephi 11:6",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\band\s+(\w+)\s+said\s+unto\b","","And behold, the third time they did understand the"
"3 Nephi 11:9",FRAME_MORMON_ABRIDGER,EMBED_SPEECH,,"MEDIUM",True,"\bsaying\s*[:;,]","","And it came to pass that he stretched forth his ha"
